,Title,Year,Publisher,Genre,Platform,Metascore,Avg_Userscore,No_Players
26,Resident Evil 4,2005,Capcom,Action Adventure;Horror,GameCube,96,9.3,1 Player
27,The Orange Box,2007,ValveSoftware,Action;Miscellaneous;Shooter;Compilation;First-Person;Sci-Fi,Xbox360,96,8.8,16  Online
28,The Orange Box,2007,ValveSoftware,Action;Miscellaneous;Shooter;Compilation;First-Person;Sci-Fi,PC,96,9.2,16  Online
29,Batman: Arkham City,2011,RocksteadyStudios,Action Adventure;Fantasy;Fantasy;Open-World,PlayStation3,96,8.7,No Online Multiplayer
30,Tekken 3,1998,Namco,Action;Fighting;3D,PlayStation,96,9.1,1-2 
31,Mass Effect 2,2010,BioWare,Role-Playing;Action RPG;Action RPG,Xbox360,96,8.9,No Online Multiplayer
32,The Legend of Zelda: Twilight Princess,2006,Nintendo,Action Adventure;Fantasy,GameCube,96,8.9,1 Player
33,The Elder Scrolls V: Skyrim,2011,BethesdaGameStudios,Role-Playing;First-Person;First-Person;Western-Style,Xbox360,96,8.5,No Online Multiplayer
34,Half-Life,1998,ValveSoftware,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,96,9.1,1-32 
35,Resident Evil 4,2005,Capcom,Action Adventure;Horror,PlayStation2,96,8.9,1 Player
36,The Legend of Zelda: The Wind Waker,2003,Nintendo,Action Adventure;Fantasy,GameCube,96,8.9,1 Player
37,Gran Turismo,1998,PolyphonyDigital,Driving;Racing;GT / Street,PlayStation,96,8.6,1-2 
38,BioShock,2007,"IrrationalGames,2KMarin",Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,96,8.5,No Online Multiplayer
39,Metal Gear Solid 2: Sons of Liberty,2001,KCEJ,Action Adventure;Modern,PlayStation2,96,8.8,1 Player
40,Grand Theft Auto Double Pack,2003,RockstarNorth,Miscellaneous;Compilation,Xbox,96,7.9,1 Player
41,Baldur's Gate II: Shadows of Amn,2000,BioWare,Role-Playing;PC-style RPG;PC-style RPG;Western-Style,PC,95,9.2,Up to 6 
42,Grand Theft Auto: San Andreas,2004,RockstarNorth,Action Adventure;Modern,PlayStation2,95,9.0,1-2 
43,Grand Theft Auto: Vice City,2002,RockstarNorth,Action Adventure;Modern,PlayStation2,95,8.8,1 Player
44,LittleBigPlanet,2008,"SCE/WWS,MediaMolecule",Action;Platformer;Platformer;3D;2D;3D,PlayStation3,95,6.8,Up to 4 
45,The Legend of Zelda Collector's Edition,2003,Nintendo,Action Adventure;Fantasy,GameCube,95,9.0,1 Player
46,Red Dead Redemption,2010,RockstarSanDiego,Action;Shooter;Third-Person;Historic;Action Adventure;Historic;Historic;Open-World,PlayStation3,95,8.9,Up to 16 
47,Gran Turismo 3: A-Spec,2001,PolyphonyDigital,Driving;Racing;GT / Street,PlayStation2,95,8.4,1-2 
48,Halo 2,2004,BungieSoftware,Action;Shooter;First-Person;Sci-Fi,Xbox,95,8.2,1-16 
49,The Legend of Zelda: A Link to the Past,2002,Capcom,Action Adventure;Fantasy,GameBoyAdvance,95,8.9,not specified
50,The Legend of Zelda: Majora's Mask,2000,Nintendo,Action Adventure;Fantasy,Nintendo64,95,9.1,1 Player
51,The Last of Us,2013,NaughtyDog,Modern;Adventure;General;Action Adventure;General;Modern,PlayStation3,95,9.2,Up to 8 
52,The Legend of Zelda: Twilight Princess,2006,Nintendo,Action Adventure;Fantasy;General;Fantasy;Open-World,Wii,95,9.0,No Online Multiplayer
53,Madden NFL 2003,2002,EASports,Sports;Traditional;Football;Sim,PlayStation2,95,7.4,1-2 
54,Tony Hawk's Pro Skater 2,2001,VicariousVisions,Sports;Alternative;Skateboarding,GameBoyAdvance,95,7.0,not specified
55,The Last of Us Remastered,2014,NaughtyDog,Action Adventure;General;Modern,PlayStation4,95,9.1,Up to 8 
56,Portal 2,2011,ValveSoftware,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,95,9.0,not specified
57,Red Dead Redemption,2010,RockstarSanDiego,Action;Action Adventure;Shooter;Historic;Historic;Open-World;Third-Person;Historic,Xbox360,95,9.0,Up to 16 
58,Portal 2,2011,ValveSoftware,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,Xbox360,95,8.7,not specified
59,Metal Gear Solid V: The Phantom Pain,2015,"KojimaProductions,MobyDickStudio",Modern;Modern;Action Adventure;Open-World,XboxOne,95,7.4,Up to 16 
60,Portal 2,2011,ValveSoftware,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PlayStation3,95,8.5,not specified
61,World of Goo,2008,2DBoy,Miscellaneous;Puzzle;Action;Puzzle;General;Puzzle;General,Wii,94,8.7,1-4 
62,BioShock Infinite,2013,IrrationalGames,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PlayStation3,94,8.5,No Online Multiplayer
63,Final Fantasy IX,2000,SquareSoft,Role-Playing;Console-style RPG,PlayStation,94,8.9,1 Player
64,Call of Duty: Modern Warfare 2,2009,InfinityWard,Action;Shooter;Shooter;First-Person;Modern;Modern;Arcade,PlayStation3,94,6.4,Up to 18 
65,Tony Hawk's Pro Skater 4,2002,NeversoftEntertainment,Sports;Alternative;Skateboarding,PlayStation2,94,8.4,1-8 
66,Devil May Cry,2001,Capcom,Action Adventure;Fantasy,PlayStation2,94,8.6,1 Player
67,Call of Duty 4: Modern Warfare,2007,InfinityWard,Action;Shooter;Shooter;First-Person;Modern;Modern;Arcade,PlayStation3,94,8.4,Up to 18 
68,Madden NFL 2002,2001,EASports,Sports;Traditional;Football;Sim,PlayStation2,94,7.4,1-8 
69,God of War,2018,SCESantaMonica,Action Adventure;Linear,PlayStation4,94,9.1,No Online Multiplayer
70,Batman: Arkham City,2011,RocksteadyStudios,Action Adventure;Fantasy;Fantasy;Open-World,Xbox360,94,8.7,No Online Multiplayer
71,The Elder Scrolls V: Skyrim,2011,BethesdaGameStudios,Role-Playing;First-Person;First-Person;Western-Style,PC,94,8.2,No Online Multiplayer
72,Mass Effect 2,2010,BioWare,Role-Playing;Action RPG;Action RPG,PC,94,8.8,No Online Multiplayer
73,The Legend of Zelda: Ocarina of Time 3D,2011,GREZZO,Miscellaneous;Action Adventure;Fantasy;Fantasy;Compilation;Open-World,3DS,94,8.9,No Online Multiplayer
74,Chrono Cross,2000,SquareSoft,Role-Playing;Console-style RPG,PlayStation,94,8.2,1 Player
75,BioShock,2008,"DigitalExtremes,2KMarin",Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PlayStation3,94,8.7,No Online Multiplayer
76,Mass Effect 2,2011,BioWare,Role-Playing;Action RPG;Action RPG,PlayStation3,94,8.5,No Online Multiplayer
77,Grand Theft Auto: Vice City,2003,RockstarNorth,Action Adventure;Modern;Modern;Open-World,PC,94,8.8,No Online Multiplayer
78,Madden NFL 2004,2003,EATiburon,Sports;Traditional;Football;Sim,PlayStation2,94,8.4,1-8 
79,Gears of War,2006,EpicGames,Action;Shooter;Shooter;Third-Person;Sci-Fi;Sci-Fi;Arcade,Xbox360,94,8.3,8  Online
80,The Elder Scrolls IV: Oblivion,2006,BethesdaSoftworks,Role-Playing;First-Person;First-Person;Western-Style,Xbox360,94,8.7,No Online Multiplayer
81,Sid Meier's Civilization II,1996,MPSLabs,Strategy;Turn-Based;Historic;General;Historic;4X,PC,94,8.9,1 Player
82,Quake,1996,idSoftware,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,94,8.8,1-16 
83,Call of Duty 4: Modern Warfare,2007,InfinityWard,Action;Shooter;Shooter;First-Person;Modern;Modern;Arcade,Xbox360,94,8.5,Up to 18 
84,BioShock Infinite,2013,IrrationalGames,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,94,8.6,No Online Multiplayer
85,Halo 3,2007,"BungieSoftware,Bungie",Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,Xbox360,94,7.9,1-4 
86,Ninja Gaiden Black,2005,TeamNinja,Action Adventure;Fantasy,Xbox,94,8.7,1 Player
87,The Elder Scrolls IV: Oblivion,2006,BethesdaSoftworks,Role-Playing;First-Person;First-Person;Western-Style,PC,94,8.1,No Online Multiplayer
88,Street Fighter IV,2009,Capcom,Action;Fighting;Fighting;3D;2D;3D,PlayStation3,94,7.3,2  Online
89,Celeste,2018,MattMakesGamesInc.,Action;Platformer;2D,XboxOne,94,6.4,No Online Multiplayer
90,Super Mario Advance 4: Super Mario Bros. 3,2003,Nintendo,Action;Platformer;2D,GameBoyAdvance,94,8.9,1-4 
91,Jet Grind Radio,2000,Smilebit,Action;Platformer;3D,Dreamcast,94,8.0,not specified
92,Metal Gear Solid,1998,KCEJ,Action Adventure;Modern,PlayStation,94,9.2,1 Player
93,Grim Fandango,1998,LucasArts,Adventure;General;General;3D;Third-Person;Fantasy,PC,94,9.1,No Online Multiplayer
94,Tom Clancy's Splinter Cell Chaos Theory,2005,UbisoftMontreal,Action Adventure;Modern,Xbox,94,8.9,4  Online
95,Burnout 3: Takedown,2004,CriterionGames,Driving;Racing;Arcade,Xbox,94,7.4,8  Online
96,Diablo,1996,BlizzardEntertainment,Role-Playing;Action RPG;Action RPG,PC,94,8.7,1-4 
97,Metal Gear Solid 3: Subsistence,2006,Aspect,Action Adventure;Modern,PlayStation2,94,9.0,8  Online
98,Call of Duty: Modern Warfare 2,2009,InfinityWard,Action;Shooter;Shooter;First-Person;Modern;Modern;Arcade,Xbox360,94,6.4,Up to 18 
99,Metal Gear Solid 4: Guns of the Patriots,2008,KojimaProductions,Action Adventure;Modern;General;Modern,PlayStation3,94,8.8,Up to 16 
100,NCAA Football 2004,2003,EASports,Sports;Traditional;Football;Sim,PlayStation2,94,8.7,1-8 
101,God of War,2005,SCESantaMonica,Action Adventure;Fantasy,PlayStation2,94,8.9,1 Player
102,Star Wars: Knights of the Old Republic,2003,BioWare,Role-Playing;Third-Person,Xbox,94,9.0,1 Player
103,Sid Meier's Civilization IV,2005,FiraxisGames,Strategy;Turn-Based;Historic;Historic;4X,PC,94,8.3,12  Online
104,Madden NFL 2004,2003,EATiburon,Sports;Traditional;Football;Sim,GameCube,94,7.0,1-4 
105,Virtua Fighter 4,2002,SegaAM2,Action;Fighting;3D,PlayStation2,94,8.1,1-2 
106,Super Mario 64,1996,Nintendo,Action;Platformer;3D,Nintendo64,94,9.2,1 Player
107,The Witcher 3: Wild Hunt,2015,CDProjektRedStudio,Action RPG;Role-Playing;Action RPG,PC,93,9.3,No Online Multiplayer
108,Burnout 3: Takedown,2004,CriterionGames,Driving;Racing;Arcade,PlayStation2,93,9.0,1-16 
109,Super Smash Bros. Brawl,2008,GameArts,Action;Fighting;Fighting;3D;2D;3D,Wii,93,8.9,Up to 4 
110,Company of Heroes,2006,Relic,Strategy;Real-Time;Historic;General;Historic,PC,93,8.8,8  Online
111,Gran Turismo 2,1999,PolyphonyDigital,Driving;Racing;GT / Street,PlayStation,93,9.0,1-2 
112,Tom Clancy's Splinter Cell Pandora Tomorrow,2004,UbisoftShanghai,Action Adventure;Modern,Xbox,93,8.6,1-4 
113,Grand Theft Auto: Chinatown Wars,2009,RockstarLeeds,Action Adventure;Modern;Modern;Open-World,DS,93,8.2,not specified
114,Pac-Man Championship Edition DX,2010,NamcoBandaiGames,Adventure;General;Action;General;General;Arcade,Xbox360,93,7.8,not specified
115,Street Fighter Alpha 3,1999,Capcom,Action;Fighting;2D,PlayStation,93,8.6,1-2 
116,Tony Hawk's Pro Skater 3,2002,NeversoftEntertainment,Sports;Alternative;Skateboarding,Xbox,93,7.9,1-4 
117,Divinity: Original Sin II,2017,LarianStudios,Action RPG;Role-Playing;Western-Style,PC,93,8.4,Online Multiplayer
118,Unreal Tournament 2004,2004,EpicGames,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,93,8.8,1-32 
119,BioShock Infinite,2013,IrrationalGames,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,Xbox360,93,8.5,No Online Multiplayer
120,Braid,2008,NumberNoneInc.,Action;Platformer;Platformer;2D;2D,Xbox360,93,8.5,1 Player
121,God of War II,2007,SCESantaMonica,Action Adventure;Fantasy,PlayStation2,93,8.9,1 Player
122,Super Mario 3D World,2013,Nintendo,Platformer;3D;Action;Platformer;3D,WiiU,93,8.9,No Online Multiplayer
123,Starcraft II: Wings of Liberty,2010,BlizzardEntertainment,Strategy;Real-Time;Sci-Fi;Command,PC,93,8.2,Up to 4 
124,SSX,2000,EASportsBig,Sports;Alternative;Snowboarding,PlayStation2,93,8.4,1-2 
125,Street Fighter IV,2009,Capcom,Action;Fighting;Fighting;3D;2D;3D,Xbox360,93,7.3,2  Online
126,Minecraft,2009,MojangAB,Action Adventure;Adventure;3D;Sandbox;First-Person;Fantasy;Fantasy,PC,93,7.5,Up to 10 
127,Persona 5,2017,Atlus,Role-Playing;Japanese-Style,PlayStation4,93,9.1,No Online Multiplayer
128,Persona 4 Golden,2012,Atlus,Role-Playing;Console-style RPG;Console-style RPG;Japanese-Style,PlayStationVita,93,9.2,Up to 40 
129,SSX 3,2003,EACanada,Sports;Alternative;Snowboarding,PlayStation2,93,9.0,1-2 
130,Tom Clancy's Splinter Cell,2002,UbisoftMontreal,Action Adventure;Modern,Xbox,93,8.6,1 Player
131,Grand Theft Auto III,2002,"DMADesign,RockstarNorth",Action Adventure;Modern;Modern;Open-World,PC,93,8.3,No Online Multiplayer
132,Quake III Arena,2000,Raster,Action;Shooter;First-Person;Sci-Fi,Dreamcast,93,8.1,not specified
133,Homeworld,1999,Relic,Strategy;Real-Time;Sci-Fi;Sci-Fi;General,PC,93,8.9,1-8 
134,Okami,2006,CloverStudio,Action Adventure;Fantasy,PlayStation2,93,9.1,1 Player
135,The Elder Scrolls IV: Oblivion,2007,4JStudios,Role-Playing;First-Person;First-Person;Western-Style,PlayStation3,93,8.0,No Online Multiplayer
136,Fallout 3,2008,BethesdaGameStudios,Role-Playing;First-Person;First-Person;Western-Style,Xbox360,93,8.5,No Online Multiplayer
137,Gears of War 2,2008,EpicGames,Action;Shooter;Shooter;Third-Person;Sci-Fi;Sci-Fi;Arcade,Xbox360,93,7.7,1-2 
138,SoulCalibur II,2003,Namco,Action;Fighting;3D,GameCube,93,8.8,1-2 
139,World Soccer Winning Eleven 6 International,2003,KCET,Sports;Traditional;Soccer;Sim,PlayStation2,93,8.4,1-8 
140,NFL 2K3,2002,VisualConcepts,Sports;Traditional;Football;Sim,PlayStation2,93,7.4,1-2 
141,Mass Effect 3,2012,BioWare,Role-Playing;Action RPG;Action RPG,Xbox360,93,5.9,Up to 4 
142,Metal Gear Solid V: The Phantom Pain,2015,"KojimaProductions,MobyDickStudio",Modern;Action Adventure;Modern;Open-World,PlayStation4,93,8.2,Up to 16 
143,Skies of Arcadia,2000,Overworks,Role-Playing;Console-style RPG,Dreamcast,93,8.9,not specified
144,The Legend of Zelda: Skyward Sword,2011,Nintendo,Action Adventure;Fantasy;General;Fantasy;Open-World,Wii,93,8.1,No Online Multiplayer
145,Mario Kart Super Circuit,2001,IntelligentSystems,Driving;Racing;Kart,GameBoyAdvance,93,8.2,1-4 
146,Rock Band 3,2010,HarmonixMusicSystems,Action;Miscellaneous;Rhythm;Music;Music,Xbox360,93,8.3,not specified
147,Viewtiful Joe,2003,CloverStudio,Action;Beat-'Em-Up,GameCube,93,8.3,1 Player
148,Test Drive Le Mans,2000,MelbourneHouse,Driving;Racing;GT / Street,Dreamcast,93,7.7,not specified
149,NBA 2K1,2000,VisualConcepts,Sports;Traditional;Basketball;Sim,Dreamcast,93,7.0,not specified
150,Castlevania: Symphony of the Night,1997,Konami,Action;Platformer;2D,PlayStation,93,9.2,1 Player
151,Star Wars: Knights of the Old Republic,2003,BioWare,Role-Playing;Third-Person;Third-Person;General,PC,93,9.0,No Online Multiplayer
152,Virtua Fighter 4: Evolution,2003,Sega,Action;Fighting;3D,PlayStation2,93,8.9,1-2 
153,Uncharted 4: A Thief's End,2016,NaughtyDog,General;Modern;Action Adventure;Linear,PlayStation4,93,8.3,Up to 10 
154,Braid,2009,"HotheadGames,NumberNoneInc.",Action;Platformer;Platformer;2D;2D,PlayStation3,93,7.8,1 Player
155,Mass Effect 3,2012,BioWare,Role-Playing;Action RPG;Action RPG,PlayStation3,93,5.6,Up to 4 
156,Paper Mario,2001,IntelligentSystems,Role-Playing;Console-style RPG,Nintendo64,93,9.1,not specified
157,Wipeout XL,1996,Psygnosis,Driving;Racing;Futuristic,PlayStation,93,8.6,1-2 
158,Grand Theft Auto: San Andreas,2005,RockstarNorth,Action Adventure;Modern,Xbox,93,8.7,1-2 
159,INSIDE,2016,PLAYDEAD,Action;Platformer;2D,XboxOne,93,8.2,not specified
160,World of Warcraft,2004,BlizzardEntertainment,Role-Playing;Massively Multiplayer Online;Massively Multiplayer;Fantasy;Fantasy,PC,93,7.3,Massively Multiplayer
161,Grand Theft Auto: San Andreas,2005,RockstarNorth,Action Adventure;Modern;Modern;Open-World,PC,93,8.9,No Online Multiplayer
162,Flipnote Studio,2009,Nintendo,Miscellaneous;General;Application,DS,93,8.4,not specified
163,World Soccer Winning Eleven 7 International,2004,KCET,Sports;Traditional;Soccer;Sim,PlayStation2,93,8.8,1-8 
164,NBA 2K2,2001,VisualConcepts,Sports;Traditional;Basketball;Sim,Dreamcast,93,7.3,not specified
165,SoulCalibur II,2003,Namco,Action;Fighting;3D,PlayStation2,92,8.8,1-2 
166,The Elder Scrolls V: Skyrim,2011,BethesdaGameStudios,Role-Playing;First-Person;First-Person;Western-Style,PlayStation3,92,6.5,No Online Multiplayer
167,Prince of Persia: The Sands of Time,2003,Ubisoft,Action Adventure;Fantasy,Xbox,92,7.7,1 Player
168,Call of Duty 4: Modern Warfare,2007,InfinityWard,Action;Shooter;Shooter;First-Person;Modern;Modern;Arcade,PC,92,8.5,Up to 18 
169,Divinity: Original Sin II - Definitive Edition,2018,LarianStudios,Role-Playing;Western-Style,PlayStation4,92,8.5,Online Multiplayer
170,God of War III,2010,SCESantaMonica,Action Adventure;Fantasy;Fantasy;Linear,PlayStation3,92,8.8,No Online Multiplayer
171,NFL 2K3,2002,VisualConcepts,Sports;Traditional;Football;Sim,GameCube,92,8.3,1-4 
172,SSX Tricky,2001,EACanada,Sports;Alternative;Snowboarding,PlayStation2,92,8.9,1-2 
173,NHL 2002,2001,EASports,Sports;Traditional;Ice Hockey;Sim,PlayStation2,92,8.5,1-8 
174,Guitar Hero II,2007,HarmonixMusicSystems,Action;Miscellaneous;Rhythm;Music;Music,Xbox360,92,8.1,1-2 
175,Prince of Persia: The Sands of Time,2003,Ubisoft,Action Adventure;Fantasy,PlayStation2,92,8.7,1 Player
176,Uncharted 3: Drake's Deception,2011,NaughtyDog,Action Adventure;Modern;Modern;Linear,PlayStation3,92,8.4,Up to 10 
177,Rock Band,2007,HarmonixMusicSystems,Action;Miscellaneous;Rhythm;Music;Music,Xbox360,92,8.2,4  Online
178,Journey,2015,TrickyPixels,Action;Platformer;3D,PlayStation4,92,8.4,2 
179,Bloodborne,2015,FromSoftware,Fantasy;Role-Playing;Action Adventure;General;Action RPG,PlayStation4,92,8.9,Up to 5 
180,Eternal Darkness: Sanity's Requiem,2002,SiliconKnights,Action Adventure;Horror,GameCube,92,8.8,1 Player
181,Warcraft III: Reign of Chaos,2002,BlizzardEntertainment,Strategy;Real-Time;Fantasy;General;Fantasy,PC,92,9.1,not specified
182,SSX 3,2003,EACanada,Sports;Alternative;Snowboarding,GameCube,92,8.8,1-2 
183,The Sims,2000,Maxis,Simulation;Miscellaneous;Virtual Life;Virtual;Virtual Life,PC,92,7.9,1 Player
184,Banjo-Kazooie,1998,RareLtd.,Action;Platformer;3D,Nintendo64,92,9.1,1 Player
185,Sid Meier's Gettysburg!,1997,FiraxisGames,Strategy;Real-Time;Wargame;Real-Time;General,PC,92,7.4,1-8 
186,Rock Band 2,2008,HarmonixMusicSystems,Action;Miscellaneous;Rhythm;Music;Music,Wii,92,7.6,4  Online
187,Forza Motorsport,2005,MicrosoftGameStudios,Driving;Racing;GT / Street,Xbox,92,7.6,8  Online
188,Celeste,2018,MattMakesGamesInc.,Action;Platformer;2D,Switch,92,8.3,No Online Multiplayer
189,Madden NFL 2004,2003,EATiburon,Sports;Traditional;Football;Sim,Xbox,92,8.3,1-4 
190,Super Street Fighter IV,2010,Capcom,Action;Fighting;Fighting;3D;2D;3D,PlayStation3,92,7.8,Up to 8 
191,World Soccer Winning Eleven 7 International,2004,KCET,Sports;Traditional;Team;Soccer;Sim;Sim,PC,92,7.5,1-2 
192,Advance Wars,2001,IntelligentSystems,Strategy;Turn-Based;Modern,GameBoyAdvance,92,9.0,1-4 
193,Vagrant Story,2000,SquareSoft,Role-Playing;Action RPG,PlayStation,92,8.5,1 Player
194,What Remains of Edith Finch,2017,GiantSparrow,Adventure;3D;First-Person,XboxOne,92,7.4,No Online Multiplayer
195,Team Fortress 2,2007,ValveSoftware,Action;Shooter;Shooter;First-Person;Modern;Tactical;Modern,PC,92,9.1,Up to 32 
196,System Shock 2,1999,"LookingGlassStudios,IrrationalGames",Action Adventure;Sci-Fi;Sci-Fi;Survival,PC,92,9.1,1 Player
197,Tom Clancy's Splinter Cell: Chaos Theory,2005,UbisoftMontreal,Action Adventure;Modern;General;Modern,PC,92,8.7,No Online Multiplayer
198,Final Fantasy XII,2006,SquareEnix,Role-Playing;Console-style RPG,PlayStation2,92,7.5,1 Player
199,Undertale,2017,tobyfox,Role-Playing;Japanese-Style,PlayStation4,92,6.5,not specified
200,Madden NFL 2003,2002,EASports,Sports;Traditional;Football;Sim,GameCube,92,8.5,1-4 
201,The Witcher 3: Wild Hunt,2015,CDProjektRedStudio,Action RPG;Role-Playing;Action RPG,PlayStation4,92,9.2,No Online Multiplayer
202,Super Mario World: Super Mario Advance 2,2002,Nintendo,Action;Platformer;2D,GameBoyAdvance,92,8.9,not specified
203,ESPN NFL 2K5,2004,VisualConcepts,Sports;Traditional;Football;Sim,Xbox,92,8.9,1-4 
204,Super Smash Bros. Melee,2001,HALLabs,Action;Fighting;3D,GameCube,92,9.1,1-4 
205,Madden NFL 2003,2002,EATiburon,Sports;Traditional;Football;Sim,Xbox,92,8.1,1-4 
206,Rome: Total War,2004,CreativeAssembly,Strategy;Real-Time;Historic;General;Historic,PC,92,9.1,8  Online
207,Forza Motorsport 3,2009,Turn10,Driving;Racing;Simulation;GT / Street;GT / Street;Automobile,Xbox360,92,8.1,Up to 8 
208,Okami HD,2017,Capcom,Action Adventure;General,PC,92,7.6,No Online Multiplayer
209,Undertale,2015,tobyfox,Role-Playing;General;Japanese-Style,PC,92,8.3,No Online Multiplayer
210,Batman: Arkham Asylum,2009,RocksteadyStudios,Action Adventure;Fantasy;General;Fantasy,Xbox360,92,8.7,No Online Multiplayer
211,Super Mario Sunshine,2002,Nintendo,Action;Platformer;3D,GameCube,92,8.6,1 Player
212,SSX 3,2003,EACanada,Sports;Alternative;Snowboarding,Xbox,92,8.8,1-2 
213,SoulCalibur II,2003,Namco,Action;Fighting;3D,Xbox,92,8.9,1-2 
214,Tony Hawk's Pro Skater,1999,NeversoftEntertainment,Sports;Alternative;Skateboarding,PlayStation,92,8.9,1-2 
215,Thief: The Dark Project,1998,LookingGlassStudios,Action Adventure;Fantasy;General;Fantasy,PC,92,9.0,1 Player
216,Fire Emblem: Awakening,2013,IntelligentSystems,Strategy;Turn-Based;Fantasy;Fantasy;Tactics,3DS,92,9.1,No Online Multiplayer
217,Age of Empires II: The Age of Kings,1999,EnsembleStudios,Strategy;Real-Time;Historic;Historic;Command,PC,92,9.0,No Online Multiplayer
218,Final Fantasy X,2001,SquareSoft,Role-Playing;Console-style RPG,PlayStation2,92,8.8,1 Player
219,Prince of Persia: The Sands of Time,2003,Ubisoft,Action Adventure;Fantasy,GameCube,92,8.2,1 Player
220,The Walking Dead: A Telltale Games Series,2012,TelltaleGames,Miscellaneous;Adventure;Compilation;Compilation;Point-and-Click,Xbox360,92,8.6,not specified
221,Unreal Tournament (1999),1999,EpicGames,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,92,9.0,1-32 
222,Sid Meier's Alpha Centauri,1999,FiraxisGames,Strategy;Turn-Based;Sci-Fi;Sci-Fi;4X,PC,92,9.0,not specified
